country;iso_code;income_status;continent;subcontinent;mig_rate;edu_exp;youth_unempl_rate
West Bank;XWB;.;.;.;-4.2;5.3;42.2
Turkey (Turkiye);TUR;UM;Asia;Western Asia;-4.3;4.3;20.2
Wallis and Futuna;WLF;.;Oceania;Polynesia;-4.3;.;.
Marshall Islands;MHL;UM;Oceania;Micronesia;-4.5;.;11
Gaza Strip;XGZ;.;.;.;-4.7;5.3;42.2
El Salvador;SLV;UM;Americas;Latin America and the Caribbean;-4.8;3.6;9.6
Montenegro;MNE;UM;Europe;Southern Europe;-4.9;.;29.4
Kyrgyzstan;KGZ;LM;Asia;Central Asia;-5;6;14.2
Zimbabwe;ZWE;LM;Africa;Sub-Saharan Africa;-5;5.9;16.5
Dominica;DMA;UM;Americas;Latin America and the Caribbean;-5.3;5.6;.
Trinidad and Tobago;TTO;H;Americas;Latin America and the Caribbean;-5.4;.;8.7
Armenia;ARM;UM;Asia;Western Asia;-5.5;2.7;36.3
Latvia;LVA;H;Europe;Northern Europe;-5.9;4.4;12.2
Lithuania;LTU;H;Europe;Northern Europe;-5.9;3.8;11.1
Greenland;GRL;H;Americas;Northern America;-6;.;.
Saint Martin;MAF;H;Americas;Latin America and the Caribbean;-6;.;.
Lesotho;LSO;LM;Africa;Sub-Saharan Africa;-6.1;7;34.4
Fiji;FJI;UM;Oceania;Melanesia;-6.2;3.9;15.4
Tuvalu;TUV;UM;Oceania;Polynesia;-6.5;.;20.6
Eswatini;SWZ;LM;Africa;Sub-Saharan Africa;-6.8;7.1;47.1
Saint Vincent and the Grenadines;VCT;UM;Americas;Latin America and the Caribbean;-7.2;5.7;.
Virgin Islands;VIR;H;Americas;Latin America and the Caribbean;-7.5;.;.
Saint Pierre and Miquelon;SPM;.;Americas;Northern America;-7.7;.;.
Sao Tome and Principe;STP;LM;Africa;Sub-Saharan Africa;-7.9;5.1;20.8
Samoa;WSM;UM;Oceania;Polynesia;-8.1;4.2;31.9
Moldova;MDA;UM;Europe;Eastern Europe;-9;5.4;7.4
Jamaica;JAM;UM;Americas;Latin America and the Caribbean;-9.4;5.2;24.2
Guam;GUM;H;Oceania;Micronesia;-11;.;29.4
Jordan;JOR;LM;Asia;Western Asia;-11.3;3.1;35.6
Nauru;NRU;H;Oceania;Micronesia;-11.3;.;26.6
Eritrea;ERI;L;Africa;Sub-Saharan Africa;-11.6;.;.
Maldives;MDV;UM;Asia;Southern Asia;-12.7;4.1;15.9
Puerto Rico;PRI;H;Americas;Latin America and the Caribbean;-14.1;6.1;26.6
Northern Mariana Islands;MNP;H;Oceania;Micronesia;-15.4;.;.
Tonga;TON;UM;Oceania;Polynesia;-17.9;.;.
Micronesia, Federated States of;FSM;LM;Oceania;Micronesia;-20.9;12.5;18.9
American Samoa;ASM;H;Oceania;Polynesia;-26.1;.;.
Cook Islands;COK;.;Oceania;Polynesia;-29.9;4.7;.
Lebanon;LBN;LM;Asia;Western Asia;-88.7;2.5;.
